GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,0.0,0,,
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,0.34,0.34,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,54.56,54.56,,
DEVICES05,Total density per 100 000 population: Specialized hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-specialized-hospitals,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,0.00532,0.01,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,Q2,60.85,60.85,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,23.48,23.48,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,1.85,1.85,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,39.03,39.03,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,1.86,1.86,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,3.17,3.17,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,39.29,39.29,,
DEVICES03,Total density per 100 000 population: District/rural hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-district-rural-hospitals,2013,2013,2013,AFR,Africa,UGA,Uganda,,,,0.36191,0.36,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,Q5 (Richest),43.47,43.47,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2009,2009,2009,AFR,Africa,UGA,Uganda,,,,4.0,4.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,76.76,76.76,,
WHS6_102,Hospital beds (per 10 000 population),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hospital-beds-%28per-10-000-population%29,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,5.0,5.0,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,21.39,21.39,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,4.56,4.56,,
DEVICES02,Total density per 100 000 population: Health centres,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-centres,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,3.77,3.77,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,55.96,55.96,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_INP,Inpatient,74.92,74.92,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2011,2011,2011,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,56.4,56.4,,
DEVICES01,Total density per 100 000 population: Health posts,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-health-posts,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,8.99,8.99,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_OUT,Outpatient,1.86,1.86,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,0.0,0,,
DEVICES04,Total density per 100 000 population: Provincial hospitals,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/total-density-per-100-000-population-provincial-hospitals,2010,2010,2010,AFR,Africa,UGA,Uganda,,,,0.04,0.04,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,Q3,60.71,60.71,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,57.97,57.97,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,CAREPATIENT,CAREPATIENT_CAREPATIENT_TOT,Total,40.17,40.17,,
CARE_SOURCE,Care-seeking by type of patient and source of care (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/sources-of-care-in-mixed-health-systems,2016,2016,2016,AFR,Africa,UGA,Uganda,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,Q4,45.44,45.44,,
