GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016,2016,2016,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,1.8656,1.9,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2013,2013,2013,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1986,1986,1986,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,85006.0,85 006 [79 508-90 645],79508.0,90645.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.61395,2.6,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1998,1998,1998,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,37103.0,37 103 [33 183-41 292],33183.0,41292.0
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2017,2017,2017,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,14.25923,14.3 [10.6-18.9],10.6326,18.91924
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2014,2014,2014,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.02503,0,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1974,1974,1974,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,211.16969,211.2 [191.7-232.5],191.7302,232.47148
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2004,2004,2004,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,114.86158,114.9 [107.8-122.6],107.76988,122.64231
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2005,2005,2005,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,684.65605,684.7,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,15.6887,15.7,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.26065,4.3,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1970,1970,1970,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,99.32049,99.3 [88.4-112.0],88.40215,111.99664
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2015,2015,2015,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,15925.0,15 925 [13 643-18 602],13643.0,18602.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2022,2022,2022,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,13176.0,13 176 [8823-19 315],8823.0,19315.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2016,2016,2016,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.28961,0.3,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1989,1989,1989,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,198.06017,198.1 [185.8-211.1],185.84944,211.13145
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2005,2005,2005,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,19586.0,19 586 [17 459-21 906],17459.0,21906.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1966,1966,1966,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,44823.0,44 823 [39 511-50 850],39511.0,50850.0
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2022,2022,2022,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,48004.0,48 004 [32 460-70 068],32460.0,70068.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2008,2008,2008,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,6492.0,6492 [4914-8193],4914.0,8193.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2009,2009,2009,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,6.11164,6.1,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,107512.0,107 512 [99 692-115 966],99692.0,115966.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2008,2008,2008,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,86.38582,86.4 [77.3-96.2],77.29891,96.21012
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2016,2016,2016,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,14.65448,14.7 [11.1-19.1],11.11261,19.08489
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2015,2015,2015,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,5220.41357,5220,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1998,1998,1998,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,7.98233,8.0 [4.6-11.6],4.5599,11.63067
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2019,2019,2019,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,56.77917,56.8 [41.9-76.4],41.88898,76.37588
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.16259,0.2,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2012,2012,2012,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,940.91714,940.9,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1978,1978,1978,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,58807.0,58 807 [54 089-63 924],54089.0,63924.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2016,2016,2016,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006,2006,2006,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.09404,0.1,,
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2016,2016,2016,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,11106.0,11 106 [8514-13 832],8514.0,13832.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1980,1980,1980,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,206.56522,206.6 [190.7-224.1],190.65303,224.14689
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2005,2005,2005,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.08622,0.1,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,8.79423,8.8,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,2.9337,2.9,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2017,2017,2017,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.10988,0.1,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.10748,0.1,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1992,1992,1992,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,35154.0,35 154 [31 389-39 020],31389.0,39020.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2002,2002,2002,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,136.07427,136.1 [123.4-149.8],123.41249,149.76828
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2007,2007,2007,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00785,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,5.38166,5.4,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2008,2008,2008,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.04913,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2019,2019,2019,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,7745.17046,7745,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,17.9757,18,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2023,2023,2023,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,34.60938,34.6 [22.5-52.4],22.49389,52.43077
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,3273.1701,3273.2,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2012,2012,2012,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,18.00746,18.0 [13.7-22.9],13.65469,22.90705
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2006,2006,2006,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.00507,0,,
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.01355,0,,
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1998,1998,1998,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,75387.0,75 387 [70 677-80 016],70677.0,80016.0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,2012,2012,2012,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,39.50625,39.5 [35.8-43.7],35.80936,43.6649
WHOSIS_000014,Stillbirth rate (per 1000 total births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/stillbirth-rate-%28per-1000-total-births%29,2023,2023,2023,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,14.54872,14.5 [12.5-16.9],12.47046,16.94344
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1992,1992,1992,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,30.32997,30.3 [24.7-36.5],24.74229,36.52943
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,2011,2011,2011,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,28782.0,28 782 [26 236-31 525],26236.0,31525.0
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1997,1997,1997,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,102075.0,102 075 [96 187-108 199],96187.0,108199.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.28103,0.3,,
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-for-5-14-year-olds-%28probability-of-dying-per-1000-children-aged-5-14-years%29,2022,2022,2022,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,11.74414,11.7 [8.1-17.4],8.09382,17.40073
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1991,1991,1991,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,29.58048,29.6 [23.9-36.0],23.86709,35.96986
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1957,1957,1957,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,221.86715,221.9 [187.9-261.9],187.86209,261.91825
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1974,1974,1974,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,103.50288,103.5 [93.6-114.5],93.61119,114.52056
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2017,2017,2017,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.02093,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016,2016,2016,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years of age,0.11774,0.1,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2023,2023,2023,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,38.24478,38.2 [24.7-58.1],24.70094,58.05491
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2008,2008,2008,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,,,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,2011,2011,2011,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,34608.0,34 608 [30 614-39 372],30614.0,39372.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1998,1998,1998,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,120.31934,120.3 [108.0-134.0],107.97454,134.03993
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1992,1992,1992,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,31607.0,31 607 [29 110-34 257],29110.0,34257.0
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1987,1987,1987,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,118.01662,118.0 [110.5-126.1],110.50314,126.12481
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2006,2006,2006,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,7.13952,7.1 [3.9-10.5],3.8761,10.54818
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1994,1994,1994,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,4412.0,4412 [2426-6546],2426.0,6546.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,5815.0,5815 [2854-8962],2854.0,8962.0
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,2361.29041,2361.3,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1976,1976,1976,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,125.72523,125.7 [115.1-137.6],115.08471,137.60519
MORT_100,"Number of deaths in children aged <5 years, by cause",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,14011.9086,14011.9,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1964,1964,1964,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,196.10362,196.1 [172.0-224.3],171.9794,224.33124
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2003,2003,2003,AFR,Africa,UGA,Uganda,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.05385,0.1,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1996,1996,1996,AFR,Africa,UGA,Uganda,SEX,SEX_BTSX,Both sexes,27.67796,27.7 [23.1-32.5],23.14633,32.52267
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1970,1970,1970,AFR,Africa,UGA,Uganda,SEX,SEX_MLE,Male,28698.0,28 698 [25 546-32 101],25546.0,32101.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1964,1964,1964,AFR,Africa,UGA,Uganda,SEX,SEX_FMLE,Female,37540.0,37 540 [32 900-42 887],32900.0,42887.0
